Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates (Headcount)
2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,Other Professionals and Technical Workers,1
2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,Teaching Profession,16
2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
2016/17,Hong Kong Baptist University,Research postgraduate,Others,Not in Full-time Employment,25
2016/17,Hong Kong Baptist University,Research postgraduate,Underemployed,Not in Full-time Employment,4
2016/17,Hong Kong Baptist University,Taught postgraduate,FT employment,Business Professionals,1
2016/17,Hong Kong Baptist University,Taught postgraduate,FT employment,Teaching Profession,6
2016/17,Hong Kong Baptist University,Taught postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,2
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Accountants and Auditors,65
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Aircraft and Ship Officers,1
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Artists,61
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,"Authors, Journalists and Related Writers",136
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Business Professionals,420
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Clerical and Related Workers,26
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",2
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Engineering Technicians,5
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Engineers,5
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Government Officials (General Grades),3
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",16
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Legal Workers,3
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Managers,19
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Medical and Health Workers,37
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Occupations not elsewhere classified,6
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Other Professionals and Technical Workers,79
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Other Service Workers,12
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Science Technicians,13
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Scientists,12
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Protective Service Workers,9
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Religious Workers,1
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Sales/Service Workers,35
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,System Analysts and Computer Programmers,51
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Teaching Profession,255
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Workers not reporting any occupation,48
2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,16
2016/17,Hong Kong Baptist University,Undergraduate,Further studies,Not in Full-time Employment,242
2016/17,Hong Kong Baptist University,Undergraduate,Others,Not in Full-time Employment,78
2016/17,Hong Kong Baptist University,Undergraduate,Underemployed,Not in Full-time Employment,74
2016/17,Hong Kong Baptist University,Undergraduate,Unemployed,Not in Full-time Employment,17
2016/17,Lingnan University,Research postgraduate,FT employment,Accountants and Auditors,1
2016/17,Lingnan University,Research postgraduate,FT employment,Business Professionals,2
2016/17,Lingnan University,Research postgraduate,FT employment,Teaching Profession,3
2016/17,Lingnan University,Research postgraduate,FT employment,Workers not reporting any occupation,1
2016/17,Lingnan University,Research postgraduate,Further studies,Not in Full-time Employment,3
2016/17,Lingnan University,Research postgraduate,Others,Not in Full-time Employment,3
2016/17,Lingnan University,Research postgraduate,Underemployed,Not in Full-time Employment,9
2016/17,Lingnan University,Research postgraduate,Unemployed,Not in Full-time Employment,2
2016/17,Lingnan University,Undergraduate,FT employment,Accountants and Auditors,64
2016/17,Lingnan University,Undergraduate,FT employment,Artists,2
2016/17,Lingnan University,Undergraduate,FT employment,"Authors, Journalists and Related Writers",45
2016/17,Lingnan University,Undergraduate,FT employment,Business Professionals,251
2016/17,Lingnan University,Undergraduate,FT employment,Clerical and Related Workers,32
2016/17,Lingnan University,Undergraduate,FT employment,Government Officials (General Grades),3
2016/17,Lingnan University,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",22
2016/17,Lingnan University,Undergraduate,FT employment,Managers,28
2016/17,Lingnan University,Undergraduate,FT employment,Other Professionals and Technical Workers,11
2016/17,Lingnan University,Undergraduate,FT employment,Other Service Workers,8
2016/17,Lingnan University,Undergraduate,FT employment,Protective Service Workers,10
2016/17,Lingnan University,Undergraduate,FT employment,Sales/Service Workers,18
2016/17,Lingnan University,Undergraduate,FT employment,Teaching Profession,85
2016/17,Lingnan University,Undergraduate,FT employment,Workers not reporting any occupation,18
2016/17,Lingnan University,Undergraduate,Further studies,Not in Full-time Employment,72
2016/17,Lingnan University,Undergraduate,Others,Not in Full-time Employment,20
2016/17,Lingnan University,Undergraduate,Underemployed,Not in Full-time Employment,27
2016/17,Lingnan University,Undergraduate,Unemployed,Not in Full-time Employment,8
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Architects and Surveyors,3
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Artists,4
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,"Authors, Journalists and Related Writers",3
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Business Professionals,19
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Clerical and Related Workers,1
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",12
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,3
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Engineers,4
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Managers,6
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,32
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Occupations not elsewhere classified,4
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Other Professionals and Technical Workers,2
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,37
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,13
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,13
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,93
2016/17,The Chinese University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,20
2016/17,The Chinese University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,66
2016/17,The Chinese University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,104
2016/17,The Chinese University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,23
2016/17,The Chinese University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,34
2016/17,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Accountants and Auditors,1
2016/17,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,28
2016/17,The Chinese University of Hong Kong,Taught postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2016/17,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,30
2016/17,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Managers,1
2016/17,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,14
2016/17,The Chinese University of Hong Kong,Taught postgraduate,FT employment,System Analysts and Computer Programmers,1
2016/17,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,165
2016/17,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,6
2016/17,The Chinese University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,4
2016/17,The Chinese University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,1
2016/17,The Chinese University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,3
2016/17,The Chinese University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,128
2016/17,The Chinese University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,1
2016/17,The Chinese University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,49
2016/17,The Chinese University of Hong Kong,Undergraduate,FT employment,Artists,11
2016/17,The Chinese University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",153
2016/17,The Chinese University of Hong Kong,Undergraduate,FT employment,Business Professionals,699
2016/17,The Chinese University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,21
2016/17,The Chinese University of Hong Kong,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",52
